Traffic source,Views,Watch time (hours),Impressions,Impressions click-through rate (%)
Total,7822393,14077.1467,1045281,7.25
Shorts feed,7368438,13158.1704,,
Browse features,197168,458.0982,829294,7.62
YouTube search,154958,288.1087,113125,7.24
Channel pages,76796,117.7426,100584,4.21
Other YouTube features,14464,31.4747,,
Notifications,5871,14.1405,,
Hashtag pages,1850,2.7829,,
External,1289,3.5811,,
Sound pages,1002,1.8893,,
Suggested videos,196,0.4452,1311,4.12
Playlists,179,0.4742,967,11.48
Direct or unknown,114,0.2286,,
Vertical live feed,3,0.0005,,
